Patient,Fold,Epoch,Loss,Train Accuracy,Test Accuracy
01,0,0,163.58740234375,78.9287644092219,80.96181556195965
01,0,1,0.8215687870979309,84.97613472622479,85.68984149855908
01,0,2,1.2793771028518677,85.63580691642652,85.68984149855908
01,0,3,0.6529661417007446,85.15399855907782,81.33105187319885
01,0,4,0.40326279401779175,84.74423631123919,85.07744956772333
01,0,5,12.126836776733398,83.19074207492795,78.34113832853026
01,0,6,0.7893572449684143,83.38886887608069,86.92363112391931
01,0,7,0.20509731769561768,82.49954971181556,85.65381844380403
01,0,8,0.8686450719833374,83.11869596541787,85.66282420749279
01,0,9,0.3129749894142151,83.55997838616715,86.1671469740634
01,0,10,0.1231631189584732,82.56484149855908,85.77089337175792
01,0,11,0.2607472240924835,80.56781340057637,79.67399135446685
01,0,12,0.24068014323711395,81.35581772334294,83.51044668587896
01,0,13,0.24546301364898682,80.37644092219021,81.09690201729106
01,0,14,0.5052890777587891,78.4492074927954,74.80187319884726
01,0,15,0.48078256845474243,77.21766930835734,79.43984149855908
01,0,16,0.22997510433197021,76.63904899135446,77.47658501440922
01,0,17,0.24561919271945953,79.2282060518732,71.91102305475503
01,0,18,0.45959439873695374,77.58465417867436,75.89157060518733
01,0,19,0.3684616982936859,78.36590417867436,81.21397694524497
01,0,20,0.20976728200912476,77.30772694524497,80.1693083573487
01,0,21,1.2409312725067139,78.97154178674351,75.88256484149855
01,0,22,0.1719539761543274,79.79782060518733,78.20605187319885
01,0,23,0.2253422737121582,78.78917507204612,76.70208933717579
01,0,24,1.6920123100280762,78.01467939481267,76.62103746397695
01,0,25,0.5056767463684082,78.66759726224784,78.29610951008645
01,0,26,0.2453160583972931,77.9426332853026,82.06051873198848
01,0,27,0.34736794233322144,78.29160662824208,78.36815561959655
01,0,28,0.2829528748989105,80.11527377521614,79.60194524495677
01,0,29,0.3107903301715851,78.63157420749279,82.32168587896254
01,0,30,0.3100639581680298,77.12761167146974,80.84474063400576
01,0,31,0.7197679281234741,78.25108069164266,74.38760806916427
01,0,32,0.3437216281890869,79.90363832853026,80.46649855907782
01,0,33,0.1878904402256012,77.65670028818444,78.7914265129683
01,0,34,0.27978456020355225,80.18056556195965,80.37644092219021
01,0,35,0.31698572635650635,78.1047370317003,81.10590778097982
01,0,36,0.2292529195547104,78.17678314121036,80.07024495677233
01,0,37,0.3964870572090149,79.5726765129683,80.67363112391931
01,0,38,0.28310054540634155,77.52386527377521,81.68227665706051
01,0,39,0.46779632568359375,80.58582492795388,76.6300432276657
01,0,40,0.2546442449092865,77.45181916426513,82.44776657060518
01,0,41,0.28348422050476074,80.23009726224784,81.00684438040345
01,0,42,0.20161981880664825,77.92237031700289,79.03458213256485
01,0,43,0.6594545245170593,80.02746757925073,77.62968299711815
01,0,44,0.3468329906463623,77.65895172910663,77.710734870317
01,0,45,0.3375403881072998,77.42480187319885,81.5021613832853
01,0,46,0.30458757281303406,80.21208573487031,81.68227665706051
01,0,47,12.066890716552734,78.92426152737752,77.35951008645533
01,0,48,0.20835107564926147,79.62220821325649,80.50252161383285
01,0,49,0.5084188580513,79.41057276657061,78.30511527377521
01,0,50,0.6864963173866272,77.29646974063401,78.05295389048992
01,0,51,0.42300593852996826,77.9673991354467,80.84474063400576
01,0,52,0.2269808053970337,77.67246037463977,79.94416426512969
01,0,53,0.29548412561416626,79.19218299711815,77.53061959654178
01,0,54,0.9390333890914917,77.95163904899135,71.54178674351584
01,0,55,0.3292137086391449,79.26648054755043,80.18731988472622
01,0,56,0.5054181218147278,78.37941282420749,79.00756484149855
01,0,57,0.22048556804656982,78.33663544668588,80.80871757925073
01,0,58,0.7253201007843018,79.37680115273776,73.44200288184439
01,0,59,0.2774047553539276,78.01467939481267,79.6199567723343
01,0,60,0.2935281991958618,77.41579610951008,75.12608069164266
01,0,61,0.7740998268127441,77.94938760806916,77.17038904899135
01,0,62,0.2753203511238098,79.68975144092218,80.2863832853026
01,0,63,0.27730756998062134,78.20154899135446,80.54755043227667
01,0,64,0.2867230176925659,80.27287463976946,80.73667146974063
01,0,65,0.22943076491355896,77.56439121037464,80.50252161383285
01,0,66,0.4193248748779297,77.54412824207493,76.14373198847262
01,0,67,0.33080002665519714,79.83609510086455,80.06123919308358
01,0,68,0.22745183110237122,78.34789265129683,81.89841498559078
01,0,69,0.27023056149482727,80.57681916426513,80.62860230547551
01,0,70,0.2901916801929474,78.88823847262248,80.45749279538906
01,0,71,0.2555859088897705,78.37490994236312,79.98018731988472
01,0,72,0.2219351828098297,78.78917507204612,80.95280979827089
01,0,73,0.2703324854373932,80.52278458213257,79.53890489913545
01,0,74,0.3401345908641815,77.54863112391931,81.16894812680115
01,0,75,3.2342309951782227,79.10662824207493,79.86311239193084
01,0,76,0.2426680475473404,78.6991174351585,80.86275216138328
01,0,77,0.3060120940208435,77.51035662824208,81.27701729106627
01,0,78,1.549748420715332,78.8837355907781,78.81844380403457
01,0,79,0.6339347958564758,77.47208213256485,78.6743515850144
01,0,80,0.3023926019668579,79.31150936599424,79.80907780979827
01,0,81,0.5061879754066467,76.94749639769452,78.6743515850144
01,0,82,9.432146072387695,78.98730187319885,73.5951008645533
01,0,83,0.19645899534225464,79.68299711815561,82.20461095100865
